survived,pclass,age,sibsp,parch,fare
0,1,30.0,0,0,27.75
1,1,49.0,1,0,89.1042
0,1,65.0,0,0,26.55
1,1,48.0,0,0,26.55
0,1,47.0,0,0,38.5
1,2,23.0,0,0,13.7917
1,1,25.0,1,0,91.0792
1,1,35.0,1,0,90.0
0,1,58.0,0,0,29.7
0,1,55.0,0,0,30.5
1,1,54.0,1,0,78.2667
0,1,25.0,1,2,151.55
1,1,16.0,0,0,86.5
0,1,18.0,1,0,108.9
1,1,36.0,0,0,26.2875
0,1,47.0,0,0,34.0208
1,2,34.0,0,0,10.5
1,1,30.0,0,0,93.5
1,1,44.0,0,1,57.9792
0,1,45.0,0,0,26.55
1,1,22.0,0,2,49.5
1,1,36.0,0,2,71.0
0,1,50.0,1,0,106.425
1,1,17.0,0,2,110.8833
1,1,48.0,1,0,39.6
1,1,39.0,1,1,79.65
1,1,53.0,2,0,51.4792
1,1,36.0,0,0,26.3875
1,1,39.0,1,0,55.9
1,1,39.0,1,1,110.8833
0,1,36.0,0,0,40.125
1,1,18.0,0,2,79.65
1,1,60.0,1,1,79.2
1,1,52.0,1,0,78.2667
1,1,49.0,1,0,56.9292
1,1,40.0,0,0,153.4625
1,2,4.0,2,1,39.0
1,1,42.0,1,0,52.5542
0,1,61.0,0,0,32.3208
1,1,21.0,0,0,77.9583
1,1,80.0,0,0,30.0
1,1,32.0,0,0,30.5
1,1,24.0,0,0,69.3
1,1,48.0,1,0,76.7292
1,1,56.0,0,0,35.5
0,1,58.0,0,2,113.275
0,1,47.0,0,0,25.5875
0,1,31.0,1,0,52.0
1,1,36.0,0,1,512.3292
1,1,27.0,0,0,76.7292
1,1,15.0,0,1,211.3375
1,1,31.0,1,0,57.0
0,1,49.0,1,1,110.8833
0,3,42.0,0,0,7.65
1,1,18.0,1,0,227.525
1,1,35.0,0,0,26.2875
1,1,42.0,0,0,26.2875
1,1,24.0,0,0,49.5042
1,1,48.0,1,0,52.0
0,3,19.0,0,0,7.65
1,1,38.0,0,0,227.525
1,2,27.0,0,0,10.5
1,1,27.0,1,0,53.1
1,1,29.0,0,0,211.3375
1,1,35.0,0,0,512.3292
0,1,36.0,1,0,78.85
1,1,21.0,2,2,262.375
0,1,70.0,1,1,71.0
0,1,19.0,1,0,53.1
1,3,6.0,0,1,12.475
1,1,33.0,0,0,86.5
1,1,36.0,1,2,120.0
1,1,51.0,1,0,77.9583
0,2,57.0,0,0,10.5
1,1,43.0,0,1,211.3375
1,1,17.0,1,0,57.0
0,1,29.0,0,0,30.0
0,1,46.0,0,0,79.2
1,1,49.0,0,0,25.9292
1,1,11.0,1,2,120.0
0,1,39.0,0,0,0.0
1,1,33.0,1,0,53.1
1,1,52.0,1,1,93.5
1,3,27.0,0,1,12.475
1,1,39.0,1,1,83.1583
1,1,16.0,0,1,39.4
1,1,51.0,0,0,26.55
1,1,48.0,0,0,25.9292
0,1,31.0,0,0,50.4958
1,1,47.0,1,1,52.5542
0,1,33.0,0,0,5.0
1,1,56.0,0,1,83.1583
1,1,19.0,0,0,30.0
1,1,26.0,0,0,30.0
